230.02	246.45	254.92	260.34	264.23	266.97	269.07	270.86	272.35
686.84	737.78	763.94	779.11	789.77	797.91	803.85	808.83	813.08
1043	1123.8	1162.5	1186	1201.5	1212.9	1221.4	1228.6	1234.6
1379.5	1487.3	1539.9	1569.6	1590	1604.8	1615.9	1625.3	1633.1
1614.9	1744.3	1804.7	1839.9	1863.3	1879.5	1892.2	1902.9	1911.6
1771.2	1913	1979.3	2018.3	2043.9	2062.1	2076.1	2087.3	2096.8
1812.2	1958.4	2026.6	2066.6	2092.7	2111.4	2125.1	2136.1	2145.2
1790.8	1933.9	2000.8	2040.2	2066.3	2084.7	2099	2110.5	2119.9
1654.5	1785.8	1847.4	1883.9	1908	1925	1938.4	1949.5	1958.5
1375.6	1482.8	1535.2	1564.8	1585.3	1600.1	1611.4	1620.7	1628.5
1084.4	1166.5	1206.5	1231	1247.5	1259.7	1269	1277	1283.7
685.39	735.55	761.49	776.63	787.42	795.66	801.76	806.93	811.39
238.21	254.72	263.36	268.98	273.09	276.05	278.36	280.35	282.05
