4.1001	4.8802	5.2628	5.4943	5.6487	5.7422	5.805	5.854	5.8829
17.637	19.464	20.188	20.422	20.476	20.444	20.333	20.191	20.032
25.902	28.641	29.514	29.764	29.732	29.555	29.307	29.032	28.73
34.915	38.37	39.478	39.705	39.628	39.388	39.048	38.672	38.267
43.141	47.273	48.521	48.841	48.764	48.474	48.087	47.662	47.19
49.915	54.236	55.56	55.934	55.881	55.616	55.246	54.811	54.341
51.064	55.414	56.709	57.035	56.951	56.648	56.244	55.778	55.277
50.511	54.8	56.101	56.456	56.393	56.122	55.741	55.311	54.824
44.254	48.385	49.657	50.014	49.949	49.675	49.309	48.892	48.423
35.505	38.953	40.063	40.3	40.235	40.008	39.683	39.335	38.95
27.527	30.258	31.137	31.399	31.375	31.219	30.989	30.735	30.455
17.673	19.475	20.201	20.449	20.522	20.502	20.403	20.28	20.14
4.3965	5.1649	5.5519	5.7813	5.9343	6.0329	6.0968	6.1441	6.1776
